id,game,release_date,price,owners,developer,average_playtime,median_playtime,metascore,platform
53,Half-Life 2: Lost Coast,2005-10-27,NA,"10,000,000 .. 20,000,000",Valve,0,0,NA
54,Grand Theft Auto: San Andreas,2005-06-6,14.99,"2,000,000 .. 5,000,000",Rockstar Games,373,236,93
55,STAR WARS Knights of the Old Republic II - The Sith Lords,2005-02-8,9.99,"2,000,000 .. 5,000,000","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)",37,12,85
56,Sid Meier's Civilization IV,2005-10-25,19.99,"1,000,000 .. 2,000,000",Firaxis Games,0,0,94
57,Serious Sam 2,2005-10-11,9.99,"1,000,000 .. 2,000,000",Croteam,0,0,74
58,Sid Meier's Pirates!,2005-07-11,9.99,"500,000 .. 1,000,000",Firaxis Games,0,0,88
59,Darwinia,2005-07-14,9.99,"500,000 .. 1,000,000",Introversion Software,0,0,84
60,Dungeon Siege II,2005-08-16,6.99,"500,000 .. 1,000,000",Gas Powered Games,0,0,80
61,scram,2005-09-13,NA,"500,000 .. 1,000,000",spleen,0,0,NA
62,Street Racing Syndicate,2005-01-8,2.99,"500,000 .. 1,000,000",Eutechnyx,0,0,NA
63,Tom Clancy's Splinter Cell Chaos Theory,2005-03-29,9.99,"200,000 .. 500,000",Ubisoft Montreal,0,0,92
64,Prince of Persia: The Two Thrones,2005-12-7,9.99,"200,000 .. 500,000",Ubisoft Montreal,0,0,85
65,FATE,2005-05-18,7.99,"200,000 .. 500,000",WildTangent,0,0,80
66,The Bard's Tale,2005-06-17,9.99,"200,000 .. 500,000",inXile Entertainment,0,0,70
67,Space Hack,2005-11-15,4.99,"200,000 .. 500,000",NA,0,0,63
68,Brothers in Arms: Road to Hill 30,2005-03-15,9.99,"100,000 .. 200,000",Gearbox Software,0,0,87
69,Brothers in Arms: Earned in Blood,2005-10-4,9.99,"100,000 .. 200,000",Gearbox Software,0,0,84
70,Blitzkrieg 2 Anthology,2005-09-23,4.99,"100,000 .. 200,000",Nival,0,0,75
71,Cossacks II: Napoleonic Wars,2005-04-26,4.99,"100,000 .. 200,000",GSC Game World,0,0,73
72,Imperial Glory,2005-05-15,4.99,"100,000 .. 200,000",Pyro Studios,0,0,69
73,Telltale Texas Hold ‘Em,2005-02-11,2.99,"100,000 .. 200,000",Telltale Games,0,0,NA
74,RPG Maker XP,2005-09-16,24.99,"100,000 .. 200,000",KADOKAWA,0,0,NA
75,CT Special Forces: Fire for Effect,2005-03-24,2.99,"100,000 .. 200,000","Asobo Studio, Hip Games",0,0,NA
76,Myst V: End of Ages,2005-07-19,9.99,"50,000 .. 100,000",Cyan Worlds,0,0,80
77,Crazy Machines,2005-10-1,9.99,"50,000 .. 100,000",Fakt Software,0,0,78
78,Obscure,2005-04-6,6.99,"50,000 .. 100,000",Hydravision Entertainment,0,0,63
79,Bet On Soldier,2005-09-26,7.99,"50,000 .. 100,000",Kylotonn,0,0,NA
