id,podjetje,ime_igre
8563,Reiza Studios,Formula Truck 2013
8564,Dreamsoft,Formula X
8565,Nitroglycerin Ltd.,Formula XD
8566,SparkLightGames,FormulaNext
8567,KISS ltd,Forsaken Fortress Strategy
8568,MSRX22,Forsaken Generation
8569,Smoodlez,Forsaken Isle
8570,Nightdive Studios,Forsaken Remastered
8571,crowgames,Fort
8572,"Full Bore Studios, LLC",Fort Awesome
8573,8Floor,Fort Defense
8574,Upper Class Walrus,Fort Meow
8575,All in! Games,Fort Triumph
8576,Kerberos Productions,Fort Zombie
8577,BeconGamesCorp,FortOfTheNight
8578,Clapfoot,Fortified
8579,Rat Wrath Studios,Fortified Swiss
8580,Holgersson Entertainment,Fortify
8581,SakuraGame,Fortissimo FA
8582,SakuraGame,Fortissimo FA INTL Ver
8583,Nemesys Games,Fortix
8584,Nemesys Games,Fortix 2
8585,Digital Tribe,FortressCraft Evolved!
8586,EarthWork Games,Forts
8587,Bad Logic Studios,Fortune & Gloria
8588,Carpe Fulgur LLC,Fortune Summoners
8589,Trevor Jones,Fortune's Tavern - Remastered
8590,AP Thomson,Fortune-499
8591,Dreamreason,Forward Line
8592,Animu Game,Forward to the Sky
8593,Swift Limit Games,ForzeBreak
8594,Plaidman Games,Fos
8595,Awaceb,Fossil Echo
8596,Reptoid Games,Fossil Hunters
8597,Studio Gamaii,Foto Flash
8598,Studio Gamaii,Foto Flash 2
8599,Devolver Digital,Foul Play
8600,FoundVR,Found
8601,Yai Gameworks,Found Horror Game 11.exe
8602,Hosted Games,Foundation of Nightmares
8603,Nuclear Fishin' Software,Four Horsemen
8604,Joe Richardson,Four Last Things
8605,Hugebot!,Four Realms
8606,Serenity Forge,Four Sided Fantasy
8607,Musopia,FourChords Guitar Karaoke
8608,Salty Dog Digital,Fourtex Jugo
8609,Pixelante Game Studios,Fowl Space
8610,Flying Interactive,Fox & Flock
8611,SakuraGame,Fox Hime
8612,SakuraGame,Fox Hime Zero
8613,Gingertips Game Studio,FoxTail
8614,Cool Hand Games,Foxfolk
8615,Clapfoot,Foxhole
8616,Vladimir Maslov,Foxus
8617,OraMonkey,FoxyLand
8618,Phosphene Designs LLC,Fractal
8619,FireSine LLC,Fractal Chicken
8620,Shirom Makkad,Fractal To Desktop
8621,Cipher Prime Studios,Fractal: Make Blooms Not War
8622,Start VR,Fractasia
8623,One Wheel Studio,Fracture the Flag
8624,Unbroken Studios,Fractured Lands
8625,Endgame Studios,Fractured Soul
8626,Mechanical Monocle,Fractured State
8627,Jeff Apostolos,Fractus
8628,EPRO ENTERTAINMENT LTD,Fragmania.gg (BETA)
8629,Ruffian Games,Fragmental
8630,Above and Beyond Technologies,Fragmented
8631,Pulsarium,Fragments
8632,Sassybot,Fragments of Him
8633,Lundar Games,Fragmentum
8634,Kodama Games,Framed Wings
8635,Killmonday Games AB,Fran Bow
8636,Out of the Park Developments,Franchise Hockey Manager 3
8637,Out of the Park Developments,Franchise Hockey Manager 4
8638,Out of the Park Developments,Franchise Hockey Manager 5
8639,Kiddy,Francisca
8640,François Bouille - Experience 360,Francois BOUILLE
8641,Classic Game Software,Frank the Miner
8642,The Dust S.A.,Frankenstein: Beyond the Time
8643,Jetdogs Studios,Frankenstein: Master of Death
8644,bitSmith Games,FranknJohn
8645,Dagestan Technology,Franky the Bumwalker
8646,PsychoFlux Entertainment,Frantic Dimension
8647,Phr00t's Software,Frantic Freighter
8648,Brain Candy,Fray: Reloaded Edition
8649,Rampant Games,Frayed Knights: The Skull of S'makh-Daon
8650,THQ Nordic,FreakOut: Extreme Freeride
8651,Plug In Digital,Freaking Meatbags
8652,KevinTheWolfy,Freakshow 2
8653,Mandragora,Freaky Awesome
8654,Scott Cawthon,Freddy Fazbear's Pizzeria Simulator
8655,Grim World Company,Freddy's Journey
8656,Forever Entertainment S. A.,Frederic: Evil Strikes Back
8657,Forever Entertainment S. A.,Frederic: Resurrection of Music
8658,Forever Entertainment S. A.,Frederic: Resurrection of Music Director's Cut
8659,Brandon J Hilde,Free At Last
8660,Skunk Software,Free Balling
8661,"38,9_Degrees",Free Bowling 3D
8662,1/13s,Free Throw
8663,Vlad Cristian,Free Towns
8664,Hell Tap Entertainment LTD,Free Yourself - A Gravity Puzzle Game Starring YOU!
8665,Nikita Makeev,Free road
8666,WHMSOFT,Free the Animation
8667,Legend Studio,FreeCell Quest
8668,aptk,FreeFlight
8669,Valkyrie Initiative,FreeFly Burning
8670,RogueWare,FreeHolder
8671,Back To Basics Gaming,Freebie
8672,SeedWall,Freebot : Battle for FreeWeb
8673,Warfare Studios,Freedom Cry
8674,League of Sweat Ent.,Freedom Defender
8675,Stirfire Studios,Freedom Fall
8676,Numb Thumb Studios,Freedom Fighter
8677,2K,Freedom Force
8678,2K,Freedom Force vs. the Third Reich
8679,Huge Robot,Freedom Locomotion VR
8680,Gamenesis,Freedom March: Rebel Leader
8681,GalaxyTrail,Freedom Planet
8682,Electroplasmatic Games,Freedom Poopie
8683,Displacement Studios,Freedom: A Time to Reckon
8684,Shockk,Freefall
8685,y8.com,Freefall Tournament
8686,KK Game Studio,Freeman: Guerrilla Warfare
8687,Interplay Corp,Freespace 2
8688,Joycity,Freestyle 2: Street Basketball
8689,Captain Games,Freeways
8690,Bottino.Games,Freeze Climbing
8691,Freeze Tag Inc.,Freeze Tag Fun Pack #1
8692,Freeze Tag Inc.,Freeze Tag Fun Pack #2
8693,Rainy Night Creations,FreezeME
8694,NedoStudio,Freezeer
8695,1C Entertainment,Freight Tycoon Inc.
8696,Coldwild Games,Frequent Flyer
8697,NewWestGames,Frequent Flyer: A Long Distance Love Story
8698,LOVIGAME,Fresh Body
8699,aomin-meiho studios,Freshly fried shrimps seemed hot additionally named noth
8700,N/A,Freshman Year
8701,Red Nexus Games Inc.,Friday Night Bullet Arena
8702,Blue Wizard Digital,Friday the 13th: Killer Puzzle
8703,Gun Media,Friday the 13th: The Game
8704,2Tall Inc.,FriendShip
8705,Centipede Game Studios,FriendZoned Archer
8706,Force Of Habit,Friendship Club
8707,Chris Antoni,Fright Light
8708,3 Fright,FrightShow Fighter
8709,Anatoliy Loginovskikh,Frightened Beetles
8710,Self-Published,Fringes of the Empire
8711,zoocros,Frio - Lost in old town
8712,zoocros,Frio2 - Memory of my sister
8713,K Bros Games,Frisky Business
8714,Viva Media,Fritz Chess 14
8715,ChessBase GmbH,Fritz Chess 16 Steam Edition
8716,Viva Media,Fritz for Fun 13
8717,ChessBase GmbH,FritzChess 15
8718,Team Frizz,Frizzy
8719,Dear Villagers,Frog Climbers
8720,White Dog Games,Frog Demon
8721,Tiny Warrior Games,Frog Hop
8722,Kajak Games,Frog Out!
8723,yeyinggame,FrogStatue
8724,Nekyau Games,Froggy BOI
8725,"GDL, Harbor",Frol Blok
8726,SuckerFree Games,From Beyond Prologue
8727,Henrico,From Darkness
8728,Ubisoft,From Dust
8729,Klabater,From Shadows
8730,Valkyrie Games,From The Sky: New Horizon
8731,Witch Laboratory,From Village to Empire
8732,Brilliant Skies Ltd.,From the Depths
8733,Vive Studios,Front Defense
8734,Square Enix,Front Mission Evolved
8735,Solecismic Software,Front Office Football Eight
8736,Solecismic Software,Front Office Football Seven
8737,Cyanide Studio,Front Page Sports Football
8738,Homemade Games,Front Wars
8739,RAZAR s.r.o.,Frontier Pilot Simulator
8740,Leon Aminof,Frontier Runner
8741,Gaugepunk Games,Frontier VR
8742,Frontiers.io,Frontiers.io
8743,Slitherine Ltd.,Frontline : Longest Day
8744,Slitherine Ltd.,Frontline : Road to Moscow
8745,Indiecode Games,Frontline Heroes VR
8746,THQ Nordic,Frontlines: Fuel of War
8747,Le Studio des Ténèbres,Frost
8748,11 bit studios,Frostpunk
8749,2Chance Projects,Frosty Kiss
8750,Clockwork Wolf,Frosty Nights
8751,Mode 7,Frozen Cortex
8752,dev4ent,Frozen Drift Race (Restocked)
8753,Disney Interactive,Frozen Free Fall: Snowball Fight
8754,Double Xtreme,Frozen Soul
8755,Flox Studios Ltd.,Frozen State
8756,Mode 7,Frozen Synapse
8757,Mode 7,Frozen Synapse 2
8758,Double Eleven,Frozen Synapse Prime
8759,Mitch Kuronya,Frqncy
8760,Mihai Morosanu,Fruit Arranger
8761,Nanali Studios,Fruit Attacks VR
8762,Teeter Games,Fruit Hoop
8763,Halfbrick Studios Pty Ltd,Fruit Ninja VR
8764,SlyGames,Fruit Sudoku
8765,Fratboy Entertainment,Fruit Tower Defense
8766,SlyGames,Fruit couple
8767,Eerie Bear Games,Fruit for the Village
8768,Strategy First,Fruits Inc. Deluxe Pack
8769,Wooden Shoes Games,Fruity Smoothie
8770,Crazysoft Limited,Frutakia 2
8771,radiostatic,Fuego!
8772,ESAT,Fuel Renegades
8773,Kotori Studios Ltd,Fugl
8774,Sedoc LLC,Fugue in Void
8775,FreeMinds,FukTopia
8776,Whippering,Full Ace Tennis Simulator
8777,iLewd,Full Body Workout
8778,Nkidu Games Inc.,Full Bore
8779,Technology and Creativity Limited,Full Colour Tiles
8780,Cellar Door Games,Full Metal Furies
8781,Action Portal,Full Metal Renegade
8782,Over The Top Games,Full Mojo Rampage
8783,THQ Nordic,Full Spectrum Warrior
8784,THQ Nordic,Full Spectrum Warrior: Ten Hammers
8785,Double Fine Productions,Full Throttle Remastered
8786,Rational Social Projects Limited,Full Tilt Poker
8787,Gamepainters,Full-On Paintball
8788,UFO Crash Games,FullBlast
8789,Fumiko Games,Fumiko!
8790,OrangesGame Technology Limited,Fun Hospital
8791,Milan Matonok,Funball Games VR
8792,Sysdia Games,Funfair
8793,Pixelsplit Simulations,Funfair Ride Simulator 3
8794,JimJams Games,Fungoids - Steam version
8795,Vamped Games,Funk Unplugged
8796,Merge Games,Funk of Titans
8797,Mostly Harmless Games,Funklift
8798,"Trollcore Enterprises TM, One Motion Games",Funny Fingers
8799,weRplay,Funny Wings VR
8800,OtakuMaker SARL,Funny Yo
8801,Yash Future Tech Solutions Pvt Ltd,Funtoon's World
8802,Snowflurry Entertainment,Fur Up
8803,NekoNyan Ltd.,Fureraba ~Friend to Lover~
8804,SMD Gaming Studio,Furfly
8805,The Game Bakers,Furi
8806,MorfeoDev,Furious Angels
8807,Future Immersive,Furious Seas
8808,Enjoy Games,Furry Animals Bombing
8809,Boomfire Games,Furwind
8810,CentVire,Fury Fighter VR
8811,Libredia,Fury Of The Gods
8812,Burning Asphalt Group,Fury Race
8813,Incendiary Entertainment Division,Fury Strike
8814,Awesome Games Studio,Fury Unleashed
8815,Mixamo,Fuse
8816,Dilmer Games,Fuse Balls
8817,Zloy Krot Studio,Future City Coaster
8818,Silhouette Valley Games,Future Proof
8819,Spaces of Play UG,Future Unfolding
8820,Radon Labs,Future Wars
8821,2049VR,Futurejam
8822,AGM PLAYISM,Futuridium EP Deluxe
8823,Khundar,Fuzecat
8824,MOVISTAR+,Félix VR
8825,Code-Monkeys,G Prime
8826,Genee Network,G-Ball
8827,Nekyau,G-DINO'S JUNGLE ADVENTURE
8828,Sekai Project,G-senjou no Maou - The Devil on G-String
8829,M♂NLY,GACHIMUCHI M♂NLY PUZZLE
8830,QEGAME,GAIA 2200
8831,Worldgame entertainment,GAIN
8832,Two thousand and one entertainment studio,GALACTIC FIELD：Strategy Edition 银河领域：策略版
8833,17-BIT,GALAK-Z
8834,xiangjom,GALAXY TOP WING
8835,Graham Dodge,GALER: Plague of Heroes
8836,DRUNKEN APES,GAME QUOTES - THE GAME
8837,hede,GAME TUBE ♛
8838,"CODE Co., Ltd.",GANUSH
8839,tinyBuild,GARAGE: Bad Trip
8840,SNK CORPORATION,GAROU: MARK OF THE WOLVES
8841,Dark Day Interactive,GASP
8842,Neko Entertainment,GAUGE
8843,Kite & Lightning,GE Neuro
8844,exoa,GEO Master
8845,BANDAI NAMCO Entertainment,GET EVEN
8846,PSY LABS,GET THE GEMS
8847,Miracle Studio,GHOUL
8848,The Game Institute,GI Racing 2.0
8849,Torrunt,GIBZ
8850,Rising Star Games,GIGA WRECKER
8851,Nyu Media,GIGANTIC ARMY
8852,GIPHY Arts,GIPHY Museum of GIF Art
8853,GIPHY Inc.,GIPHY World VR
8854,Eroticon VR,GIRLS VR UNCENSORED!!!
8855,"whatthehal Games, LLC",GL1TCH
8856,Snkl Studio,GLAD VALAKAS SIMULATOR
8857,Snkl Studio,GLAD VALAKAS TOWER DEFENCE
8858,Game Master LLC,GM Forge - Virtual Tabletop
8859,Double Fine Presents,GNOG
8860,Neon Green Pin Games,"GO AWAY, THERE'S KUMIS OVER THERE!"
8861,AGM PLAYISM,GOCCO OF WAR
8862,BANDAI NAMCO Entertainment,GOD EATER 2 Rage Burst
8863,Marco Tancredi,GOD's DEATH
8864,Robot Riot UG (haftungsbeschränkt),GODS Remastered
8865,MAFIS,GOHOROBO
8866,GIANTY Inc.,GOKEN
8867,UnNaturalism Inc.,GOLDRUSHERS
8868,Yah Man Games,GOLFY GOLF
8869,jgallant,GORB
8870,Devolver Digital,GORN
8871,Three Souls Interactive,GRAL
8872,REDBANA CORPORATION,GRANADO ESPADA
8873,"BitMonster, Inc.",GRAV
8874,Orchid Games,GRAVEN The Purple Moon Prophecy
8875,DV-T,GRAY TANK
8876,"Codemasters, Feral Interactive (Mac)",GRID 2
8877,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",GRID Autosport
8878,Kongregate,GRIDD: Retroenhanced
8879,StudioBACKSTAGE,GRIM - Mystery of Wasules
8880,Wired Productions,GRIP: Combat Racing
8881,Devolver Digital,GRIS
8882,"Claudio Catalano, CC_ARTS",GROOD
8883,SGS Team,GROOVY
8884,BlackFoot Studios,GROUND BRANCH
8885,Armatur Games,GROW: Wild West
8886,NA,GRUZCHIK
8887,SimBin,GT Legends
8888,GTGD,GTGD S1: More Than a Gamer
8889,GTGD,GTGD S2: Just One Dev
8890,GTGD,GTGD S3 How To Make A Game
8891,SimBin,GTR - FIA GT Racing Game
8892,SimBin,GTR 2 FIA GT Racing Game
8893,Reframe Games Inc.,GUIDE
8894,Arc System Works,GUILTY GEAR 2 -OVERTURE-
8895,Arc System Works,GUILTY GEAR XX ACCENT CORE PLUS R
8896,Arc System Works,GUILTY GEAR Xrd -REVELATOR-
8897,Arc System Works,GUILTY GEAR Xrd -SIGN-
8898,Activision,GUN
8899,Mystery Egg Games,GUNGUNGUN
8900,Artificient Games Inc.,GUNNVR
8901,Eric C,GUNS 'n GUTS
8902,CREATIV GAME DEVELOPER LLC.,GUNS BATTLE ROYALE
8903,"PlayStation Mobile, Inc.",GUNS UP!
8904,Libredia Entertainment,GUTS
8905,Antonio Renna,Gabe Newell Simulator 2.0
8906,Alex Zhang,GabeN: The Final Decision
8907,AAG Studio,Gaben Kingdom
8908,Pinkerton Road Studio,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition
8909,Ghost_RUS Games,Gachi Gang
8910,Lohsoft,Gachi Heroes
8911,Volha,Gachimuchi
8912,Volha,Gachimuchi Reloaded
8913,MangaGamer,Gahkthun of the Golden Lightning Steam Edition
8914,"Florian Richter, Tobias Offermanns, Devendra Pohly",Gaia Beyond
8915,Echo607,Gaia's Melody: Echoed Melodies
8916,SEGA,Gain Ground
8917,Dogenzaka Lab,Gakuen Club
8918,PQube Limited,Gal*Gun 2
8919,"INTI CREATES CO., LTD.",Gal*Gun VR
8920,PQube Limited,Gal*Gun: Double Peace
8921,NodziGames,Gal-X-E
8922,Summer Bear Studio,Galacatraz: Eject Equip Escape
8923,Puny Human,Galacide
8924,rokaplay,Galact Quest
8925,Evolutionary Games,Galactic Arms Race
8926,IndieLip,Galactic Battles
8927,Perpetual FX Creative,Galactic Bowling
8928,Josep G. Camarasa,Galactic Bulwark Strike
8929,Stardock Entertainment,Galactic Civilizations I: Ultimate Edition
8930,Stardock Entertainment,Galactic Civilizations II: Ultimate Edition
8931,Stardock Entertainment,Galactic Civilizations III
8932,3000AD,Galactic Command Echo Squad SE
8933,Portal Studios,Galactic Core: The Lost Fleet (VR)
8934,Yak Studios LLC,Galactic Delivery
8935,Forever Years,Galactic Dominion
8936,"FAT BOMB STUDIOS, LLC",Galactic Feud
8937,AYE Technology,Galactic Fighter
8938,StarworkGC,Galactic Fighters
8939,FreezeNova,Galactic Force
8940,Bearded Eye,Galactic Gallery
8941,ToastieLabs,Galactic Harvester
8942,Nifty Tools UK,Galactic Incoming
8943,"Plug In Digital, Argonauts Interactive",Galactic Inheritors
8944,Pixel Federation,Galactic Junk League
8945,Gilded Skull Games,Galactic Keep
8946,ZeroByter Games,Galactic Lander
8947,Kobra Studio,Galactic Landing
8948,Xitilon,Galactic Lords
8949,Black Sheep Games,Galactic Missile Defense
8950,"MECH'AT, Plug In Digital",Galactic Orbital Death Sport
8951,Sirrico-Net Games,Galactic Pocket Billiards
8952,NanoidGames,Galactic Shipwright
8953,Dawid Bujak,Galactic Storm
8954,David J Ozsvath,Galactic Tree Frog
8955,Gustavo Contreras,Galactis
8956,Forever Humble PDX,Galagan's Island: Reprymian Rising
8957,Sub Orbital Software,GalaxIverse
8958,Alien Octopus Studio,Galaxia Conquestum
8959,Clear Ink Studios,Galaxis Wars
8960,"MAMMOSSIX Co., Ltd.",Galaxity Beta
8961,Jetdogs Studios,Galaxy Admirals
8962,Lunarhellgames,Galaxy Annihilation
8963,Art Of Adventures,Galaxy Ball
8964,That One Game Studio,Galaxy Ball Defender
8965,Strategy First,Galaxy Cannon Rider
8966,aQuadiun,Galaxy Champions TV
8967,Fork Particle Games,Galaxy Combat Wargames
8968,FX Games Media,Galaxy Control: 3D Strategy
8969,SEGA,Galaxy Force II
8970,Dharker Studio,Galaxy Girls
8971,Magic VR,Galaxy Race
8972,Good Games,Galaxy Reavers
8973,Kazakov Oleg,Galaxy Squad
8974,cybercritics,Galaxy Union
8975,CPSuperstore,Galaxy Wide Domination
8976,Koodilab,Galaxy of Drones
8977,Behold Studios,Galaxy of Pen & Paper +1
8978,Grey Wizard Innovative,Galaxy of Trian Board Game
8979,bitComposer Games,Galaxy on Fire 2 Full HD
8980,"Hassey Enterprises, Inc.",Galcon 2: Galactic Conquest
8981,Jason Aldred,Galencia
8982,Snoddasmannen,Galimulator
8983,Tim Rachor,Gallery One
8984,Gallows,Gallows
8985,Softwaves Dist.,Gallows Choice
8986,Grizzly Wolf Games LLC,Gambit Heart
8987,ESAT,Gamble of Gods
8988,Mike Pickering,Gambol
8989,Area 120,Game Builder
8990,Degica,Game Character Hub
8991,Degica,Game Character Hub: Portfolio Edition
8992,Endless Loop Studios,Game Corp DX
8993,Roman Glebenkov,Game Dev Studio
8994,Greenheart Games,Game Dev Tycoon
8995,Crabby Team,Game Machines: Arcade Casino
8996,Headup Games,Game Royale 2 - The Secret of Jannis Island
8997,"SectorByte Solutions, LLC.",Game Server Toolbox
8998,Degica,Game Tengoku CruisinMix Special
8999,Sunlight Games,Game Tycoon 1.5
9000,Sunlight Games,Game Tycoon 2
9001,Mommy's Best Games,Game Type
9002,14 Dimension Enterprise,Game of Dragons
9003,Imperia Online LTD,Game of Emperors
9004,Dexion Games,Game of Life
9005,rokaplay,Game of Stones
9006,HandyGames,Game of Thrones
9007,Telltale Games,Game of Thrones - A Telltale Games Series
9008,Nova Dimension,Game-Ready Assets
9009,Chequered Ink Ltd.,GameDevDan vs Life
9010,Uğur Kayhandemir,GameEllen
9011,The Game Creators,GameGuru
9012,GameLooper,GameLooper
9013,YoYo Games Ltd.,GameMaker Studio 2 Desktop
9014,YoYo Games Ltd.,GameMaker Studio 2 Mobile
9015,YoYo Games Ltd.,GameMaker Studio 2 UWP
9016,YoYo Games Ltd.,GameMaker Studio 2 Web
9017,Emperor Development,GameMaster: MAGUS
9018,Console Classics,Gamefuel Driver Control
9019,Raptor Claw Games,Gamer Career Tycoon
9020,Gamer Sensei,Gamer Sensei's Range Royale
9021,Punk Games Studio,Gamer Simulator
9022,GamerCrewTV,Gamers Unknown Survival
9023,gnifrebel Games UG,GamersGoMakers
9024,"Lightbulb Crew, LBC Games",Games of Glory
9025,Yume Creations,Games&Girls
9026,Seventh Knight,Gaming Accelerator 2
9027,NA,Gamma Blast
9028,Pixeljam,Gamma Bros
9029,rese,Ganbare! Super Strikers
9030,Mimicry,Ganbatte
9031,Double Fine Presents,Gang Beasts
9032,Little Big MMO,Gangs of Space
9033,Tero Lunkka,Gangsta Sniper
9034,NVLMaker,Gaokao.Love.100Days
9035,Odysseus,Gappo's Legacy VR
9036,Blazing Tree Studio,Garage Drummer VR
9037,Fury Games Production,Garage Master 2018
9038,Svajūnas Žemaitis,Garbage Day
9039,Bitten Toast Games Inc.,Garden Paws
9040,Rainbow Games,Garden Rescue
9041,Rainbow Games,Garden Rescue: Christmas Edition
9042,AGM PLAYISM,Garden Tale
9043,Jupiter Lighthouse Games,Garden Variety Body Horror - Rare Import
9044,Morepork Games,Garden Wars
9045,Träumendes Mädchen,Garden of Oblivion
9046,KO_OP mode,Gardenarium
9047,Nekyau,Gardener the Ripper
9048,MumboJumbo,Gardens Inc. 2: The Road to Fame
9049,MumboJumbo,Gardens Inc. – From Rakes to Riches
9050,Prexen Studios,Gare Sapphire Mechs
9051,Microids,Garfield Kart
9052,HellconX™,Garlock Online
9053,Ryan Silberman,Garrison Gauntlet
9054,Indigo Entertainment,Garrison: Archangel
9055,Valve,Garry's Mod
9056,Digital Dragon,Garshasp: Temple of the Dragon
9057,Digital Dragon,Garshasp: The Monster Slayer
9058,Slitherine Ltd.,Gary Grigsby's War in the East
9059,Slitherine Ltd.,Gary Grigsby's War in the West
9060,Limitless Ltd,Gary the Gull
9061,Iceberg Interactive,Gas Guzzlers Extreme
9062,Gamepires,Gas Guzzlers: Combat Carnage
9063,IndieGala,Gates Of Nowhere
9064,Area64 Productions,Gates of Avalon
9065,Hex Keep,Gates of Horizon
9066,Please Be Patient,Gates of Horn and Ivory
9067,Smudged Cat Games Ltd,Gateways
9068,A Stranger Gravity,Gathering Sky
9069,Vanguard Games,Gatling Gears
9070,WB Games,Gauntlet Slayer Edition
9071,KillerPokeGames,Gauntlet of IRE
9072,Ghost_RUS Games,Gay World
9073,Nekyau,Gaygarin In deep as's'pace
9074,Anamik Majumdar,Gaze At Maze
9075,SakuraGame,Gazing from beyond
9076,DemonVideogames,"Gazzel Quest, The Five Magic Stones"
9077,Drop Dead Interactive,Gear Gauntlet
9078,GooDCrafter,Gear Path
9079,Doctor Entertainment AB,Gear Up
9080,Visual Entertainment And Technologies,GearCity
9081,"Playful Art, LLC",Geared
9082,SolarLune Games,Gearend
9083,John Wallie,Gebub's Adventure
9084,Movavi,Gecata by Movavi 5 - Game Recording Software
9085,Wonderbox Games,Geek Fighter
9086,Shinypix,Geek Resort
9087,Utility Spectrum,Geek Timer
9088,Primate Labs Inc.,Geekbench 3
9089,Skobbejak Games,Geeste
9090,NedoStudio,Gelu
9091,Bogemic Games,Gem Forge
9092,FoxLeap,Gem Hunter
9093,keggame,Gem Monster
9094,"Quicksilver Software, Inc.",Gem Rush
9095,Queen Birdface Productions,Gem Wars: Attack of the Jiblets
9096,Ballista Studios IVS,GemBreak
9097,Armor Games Studios,GemCraft - Chasing Shadows
9098,"uyi technology Co,Ltd",GemWars
9099,PlayFirst,Gemini Lost
9100,Wadjet Eye Games,Gemini Rue
9101,Camel101 LLC,Gemini Wars
9102,Phosphor Games,Gemini: Heroes Reborn
9103,baKno Games,Gems
9104,ODBear Studios,Gems Kingdom
9105,Graphium Studio,Gems of Magic: Lost Family
9106,505 Games,Gems of War - Puzzle RPG
9107,8Floor,Gems of the Aztecs
9108,Gamepopper,Gemstone Keeper
9109,Rhino Dev,Gender Bender
9110,Transcendent Games,Gender Bender DNA Twister Extreme
9111,Vital Games Ltd,Gene
9112,Spiderweb Software,Geneforge 3
9113,Spiderweb Software,Geneforge 4: Rebellion
9114,Spiderweb Software,Geneforge 5: Overthrow
9115,Bruni Multimedia,General Practitioner
9116,Roman Shuvalov,Generation Streets
9117,Asphe Games,Generic Jumper
9118,LionSword,Generic Space Shooter
9119,Nik Nak Studios,Geneshift Royale
9120,Thomas ZIGHEM,Genesia Legacy: Ultimate Domain
9121,Shumkov Dmitriy,Genesis Online
9122,THQ Nordic,Genesis Rising
9123,boredmob.com,Genesis of Drones
9124,Team8 Studio,Genetic Disaster
9125,Blob Games,Geneticognito
9126,"KOEI TECMO GAMES CO., LTD.",Genghis Khan / 蒼き狼と白き牝鹿・ジンギスカン
9127,"KOEI TECMO GAMES CO., LTD.",Genghis Khan II: Clan of the Gray Wolf / 蒼き狼と白き牝鹿・元朝秘史
9128,X3 Brothers,Genie
9129,Devolver Digital,Genital Jousting
9130,OtakuMaker SARL,Genius Calculator
9131,Space Fractal,Genius Greedy Mouse
9132,WarMachine,Genius! NAZI-GIRL GoePPels-Chan ep1
9133,頂点α,Gensokyo Rolling Force / 幻想郷ローリングフォース
9134,Vidas Salavejus,GentleMoon 2
9135,Blazing Griffin,Gentlemen!
9136,Windybeard,Geo
9137,Argeus Games,Geo-Fall
9138,"International GeoGebra Institute, IGI",GeoGebra Mixed Reality
9139,"Axis Game Factory, Inc.",GeoVox
9140,Scott Chinchen,Geocells Tricells
9141,Anarchy Interactive,Geocore
9142,Chamomile Software,Geography Quiz
9143,Zen Relay Games,Geoid
9144,Svantech Studios,Geology Business
9145,The Geometry Boxers,Geometry Boxer
9146,RobTop Games,Geometry Dash
9147,Zebec Games,Geometry Defense: Infinite
9148,Vais,Geometry Runner Online
9149,RewindApp,Geometry Rush
9150,"Sierra, Activision, Aspyr (Linux)",Geometry Wars 3: Dimensions Evolved
9151,Activision,Geometry Wars: Retro Evolved
9152,Eder Gabriel,Geometry World
9153,Asterion Games,George VS Bonny PP Wars
9154,Tsurudeira,George's Memories EP.1
9155,Sticky Studios,Geostorm - Turn Based Puzzle Game
9156,Back To Basics Gaming,Germ Wars
9157,Ghost_RUS Games,German Fortress 3D
9158,Sullivan Boyd & Caden Petersen,Germination
9159,Spawn Point OSK,Gerty
9160,Enjoy Games,Get CARNAGE!!!
9161,Team No Comply Games,Get Dis Money
9162,Digital Leisure Inc.,Get Off My Lawn!
9163,Strategy First,Get Over Here
9164,Baller Industries,Get Rich or Die Gaming
9165,The End Studios,Get To A Gun
9166,Amkonius Games,Get To Amkonius
9167,Hitcents,Get To The Orange Door
9168,"Second Dimension R&T, LLC",Get'em Gary
9169,"Schoolfield Games, LLC",Getaway Island
9170,Arc System Works,Getsuei Gakuen -kou-
9171,Bennett Foddy,Getting Over It with Bennett Foddy
9172,Slitherine Ltd.,Gettysburg: The Tide Turns
9173,Microids Indie,Gevaudan
9174,@unepic_fran,Ghost 1.0
9175,2Dream,Ghost Blade HD
9176,"LookAtMyGame, Plug In Digital",Ghost Cleaner
9177,ampersandbear,Ghost Croquet
9178,Anarchy Enterprises,Ghost Encounters: Deadwood - Collector's Edition
9179,Artifex Mundi,Ghost Files: The Face of Guilt
9180,Strategy First,Ghost Master
9181,Raw Lion Workshop,Ghost Mountain Roller Coaster
9182,Viva Media,Ghost Pirates of Vooju Island
9183,Toplitz Productions,Ghost Platoon
9184,Raf1Dev,Ghost Pursuit VR
9185,7 Raven Studios,Ghost Sweeper
9186,Spectral Illusions,Ghost Town Mine Ride & Shootin' Gallery
9187,JDMSoftware,Ghost Train VR
9188,"Pipeteam Games, LLC",Ghost in the Machine
9189,SeithCG,Ghost of a Tale
9190,Application Systems Heidelberg,GhostControl Inc.
9191,Activision,Ghostbusters
9192,Sony Pictures Virtual Reality,Ghostbusters VR: Now Hiring
9193,Sony Pictures Virtual Reality,Ghostbusters VR: Showdown
9194,Forever Entertainment S. A.,Ghostdream
9195,Random Thoughts Enterainment,Ghostie Quest
9196,Daltair,Ghosting Gun S
9197,Functional Unicorn,Ghostlight Manor
9198,HelixFox Games,Ghostlords
