ID,Ime,Drzava,Datum_ustanovitve,Opis
435,Funcom,Norway,1993,Developer/publisher; acquired by Tencent in 2020[20]
436,Future Games,Czech Republic,1996,Defunct in 2011.
437,Futuremark,Finland,1997,Their game development division was acquired by Rovio Entertainment. Futuremark itself was acquired by UL and was merged into them.
438,Fuuki,Japan,1977,No longer publishes video games.
439,G-Collections,Nevada,2001,Acquired by JAST USA in 2005; defunct in 2015.
440,G.rev,Japan,2000,
441,GN Software,Japan,2003,Label of Good Navigate.
442,GOG Ltd,Poland,2008,Also a digital distribution service.
443,GSC Game World,Ukraine,1995,"Defunct in 2011, reopened in 2014"
444,GSC World Publishing,Ukraine,2004,
445,GT Interactive,United States,1993,"Acquired by Atari, SA née Infogrames."
446,GTE Interactive Media,United States,1990,Software publishing arm of GTE. Defunct in 1997.
447,Gaelco,Spain,1981,Dissolved in 2007
448,Gaijin Entertainment,Russia,2002,
449,Gaijinworks,United States,2006,
450,Gainax,Japan,1984,No longer publishes video games.
451,Gakken,Japan,1947,No longer publishes video games.
452,Game Arts,Japan,1985,Acquired by GungHo Online Entertainment in 2005.
453,Game Designers' Workshop,United States,1973,Defunct in 1996.
454,Game Freak,Japan,1989,
455,Game Park,South Korea,1996,Defunct in 2007.
456,Game Studio,Japan,1985,Defunct in 2015.
457,GameHouse,United States,1998,"Casual game developer, publisher and portal; acquired by RealNetworks"
458,GameTek,United States,1987,Publishing label of IJE. Defunct in 1998.
459,Gamecock,United States,2007,Acquired by SouthPeak Games.
460,Gameloft,France,1999,Subsidiary of Vivendi; developer/publisher of mobile games
461,Games Workshop,UK,1975,Ceased publishing video games in 1985.
462,Games by Apollo,United States,1981,Defunct in 1983.
463,Ganbarion,Japan,1999,
464,Gargoyle Games,UK,1983,Defunct in 1987.
465,Gathering of Developers,United States,1998,Acquired by Take Two Interactive in 2000; renamed to Gathering. Defunct in 2004.
466,Gearbox Software,United States,1999,
467,Gebelli Software,United States,1982,Defunct in 1984.
468,Geewa,Czech Republic,2005,
469,General Entertainment,Japan,1994,Defunct in 2011.
470,Genius Sonority,Japan,2002,
471,Genki,Japan,1990,Subsidiary of Daikoku Denki [ja]
472,Ghostlight,UK,2004,
473,Giga,Japan,1993,
474,Gizmondo,Sweden,2000,Known as Tiger Telematics until 2004. Defunct in 2006.
475,Global A Entertainment,Japan,1997,"Renamed to GAE, Inc. in 2009."
476,Global Star Software,Canada,1992,"Publishing label of Take-Two Interactive, name retired."
477,Global VR,United States,1998,
478,Glu Mobile,United States,2001,Developer and publisher of mobile games
479,Gogii Games,Canada,2006,Developer/publisher
480,Good-Feel,Japan,2005,Founded by former employees of Konami
481,Got Game Entertainment,United States,2002,
482,Gotham Games,United States,2002,Label of Take-Two Interactive. Defunct in 2003.
483,Gottlieb,United States,1927,Defunct in 1996.
484,Grandslam Entertainment,UK,1987,Defunct in 1995.
485,Granzella,Japan,2011,Founded by former Irem employees
486,Graphsim Entertainment,Texas,1992,Also known as Graphic Simulations.
487,Grasshopper Manufacture,Japan,1998,Founded by Suda51; acquired by GungHo Online Entertainment in 2013
488,Gravity,South Korea,2000,Acquired by GungHo Online Entertainment
489,Gray Matter Interactive,United States,1993,Merged into Treyarch in 2005
490,Great Wave Software,United States,1984,Defunct.
491,Gremlin Industries,United States,1973,Acquired by Bally in 1984.
492,Gremlin Interactive,United Kingdom,1984,Taken over by Infogrames in 1999 studio closed in 2003
493,Grezzo,Japan,2006,Second-party developer of Nintendo
494,Grinding Gear Games,New Zealand,2006,Acquired by Tencent
495,Griptonite Games,United States,1994,Acquired by Glu Mobile
496,Grolier Interactive Inc,United States,1982,Known as Grolier Electronic Publishing Inc until 1996. Acquired by Scholasttic in 1999.
497,Groove Games,Canada,2001,Defunct in 2009.
498,Guerrilla Cambridge,United Kingdom,"1997 (as SCE Cambridge Studio), 2013",Branch of Guerrilla Games and division of SIE Worldwide Studios; closed in 2017
499,Guerrilla Games,Netherlands,2000,Division of SIE Worldwide Studios since 2004
500,Gunfire Games,United States,2014,Formed by former employees of Vigil Games; acquired by THQ Nordic in 2019
501,GungHo Online Entertainment,Japan,1998,Developer/publisher
502,Gust,Japan,1993,Became a division of Koei Tecmo Games in 2014
503,Gust Co. Ltd.,Japan,1993,Acquired by Koei Tecmo in 2011 and their games are now published by Koei Tecmo.
504,HAL Laboratory,Japan,1980,Developer closely associated with Nintendo
505,HB Studios,Canada,2000,
506,Hacker International,Japan,1990,Defunct in 2001.
507,Haemimont Games,Bulgaria,1997,
508,Haikuo Soft,Japan,2001,
509,Halfbrick,Australia,2001,Mobile game developer/publisher
510,Hamster Corporation,Japan,1999,
511,Hanaho,United States,1992,
512,HanbitSoft,South Korea,1999,Acquired by T3 Entertainment.
513,Hangar 13,United States,2014,Subsidiary of 2K Games
514,Harebrained Schemes,United States,2011,Acquired by Paradox Interactive in 2018
515,Harmonix Music Systems,United States,1995,Former subsidiary of Viacom
516,Hasbro Interactive,United States,1995,"Assets acquired by Atari, SA née Infogrames in 2000, no staff retained"
517,HeR Interactive,United States,1995,Also a video game developer.
518,Headstrong Games,United Kingdom,2000,Subsidiary of Kuju Entertainment; defunct in 2017
519,Heartbeat,Japan,1992,
520,Hect,Japan,1988,Defunct in 2002.
521,HeroCraft,Russia,2001,
522,Heureka-Klett,Germany,1996,Defunct.
523,Hewson Consultants,UK,1981,Defunct in 1991.
524,Hi Tech Expressions,United States,1988,
525,High Impact Games,United States,2003,Founded by former employees of Insomniac Games & Naughty Dog
526,High Moon Studios,United States,2005,Subsidiary of Activision
527,High Voltage Software,United States,1993,
528,Hirameki,United States,2000,Ceased publishing video games in 2008.
529,Hodder & Stoughton,UK,1868,No longer publishes video games.
530,Home Entertainment Suppliers,Australia,1984,Also known as HES.
531,Hooksoft,Japan,2000,
532,HopeLab,United States,2001,
533,Hoplon Infotainment,Brazil,2004,
534,Hothead Games,Canada,2006,Founded by former employees of Radical Entertainment
535,Houghton Mifflin Harcourt,United States,1832,"Publishes games through its software division, Houghton Mifflin Harcourt Learning Technology, which was known as Riverdeep PLC until its acquisition of Houghton Mifflin in 2006, and then as Houghton Mifflin Riverdeep Group until 2007."
536,Housemarque,Finland,1995,
537,Hudson Soft,Japan,1973,Developer/publisher; acquired and dissolved by Konami
538,Human Engineered Software,United States,1980,Acquired by Avant Garde Publishing Corp. in 1984.
539,Human Entertainment,Japan,1983,
540,Human Head Studios,United States,1997,
541,Humble Bundle,US,2010,Acquired by IGN Entertainment
542,HummingBirdSoft,Japan,1982,Defunct.
543,Humongous Entertainment,United States,1992,Former subsidiary of Infogrames; closed in 2006; their assets and brand were acquired by Tommo and relaunched in 2013
544,Hyperion Entertainment,Belgium,1999,
545,IBM,United States,1911,
546,ICOM Simulations,United States,1981,"Acquired by Viacom New Media in 1993, reformed as Rabid Entertainment in 1997, and closed in 1998."
547,INTV Corporation,United States,1984,Defunct in 1990.
548,IO Interactive,Denmark,1998,"Subsidiary of Square Enix until 2017 when they dropped IO, they then became independent"
549,ITE Media,Denmark,1998,Software publishing arm of Interactive Television Entertainment. Acquired by NDS Group in 2006; defunct in 2010.
550,Ice-Pick Lodge,Russia,2002,
551,Iceberg Interactive,The Netherlands,2009,
552,Idea Factory,Japan,1994,Developer/publisher
553,Idol Minds,United States,1997,
554,Ignition Entertainment,UK,2002,Acquired by The Walt Disney Company
555,Illusion Soft,Japan,2001,
556,Image & Form,Sweden,1997,Subsidiary of Thunderful
557,Image Works,UK,1988,Label of Mirrorsoft. Last game published in 1991.
558,Imageepoch,Japan,2005,Defunct in 2016
559,Imagic,United States,1981,Also a video game developer.
560,Imagine Software,UK,1982,"Defunct in 1984; rights bought by Ocean Software, which continued to use the Imagine name as a label on some games."
561,Imagineer,Japan,1986,
562,Ime,Država,Datum ustanovitve,Opis
563,Impressions Games,United States,1989,Acquired by Sierra in 1995; defunct in 2004.
564,Incentive Software,UK,1983,Reformed as Superscape in 1992.
565,Incognito Entertainment,United States,1999,Formed by former employees of SingleTrac; subsidiary of SCE Worldwide Studios; defunct in 2009
566,Incredible Technologies,United States,1985,"Defunct in 2016; arcade game designer, arcade game manufacturer"
567,Infinity Ward,United States,2002,Acquired by Activision in 2003.
568,Infocom,United States,1979,Closed in 1989.
569,Infogrames,France,1983,"(Renamed Atari, SA)"
570,Innerloop Studios,Norway,1996,Defunct in 2003
571,Innerprise Software,United States,1989,Defunct in 1992.
572,Inscape,United States,1994,"Acquired by Graphix Zone in early 1997, which ceased operations in November 1997."
573,Insomniac Games,United States,1994,Acquired by Sony Interactive Entertainment in 2019 as a division of SIE Worldwide Studios
574,Intelligent Systems,Japan,1986,Developer closely associated with Nintendo
575,Intellivision Productions,United States,1997,
576,Interactive Magic,United States,1994,Changed name to iEntertainment Network in 1999.
577,Interceptor Micros,UK,1982,Also a video game developer. Defunct in 1992.
578,Interchannel,Japan,1931,Subsidiary of NEC until 2004. No longer publishes video games.
579,International Games System,Taiwan,1989,
580,Interplay Entertainment,United States,1983,Developer/publisher
581,Introversion Software,United Kingdom,2002,
582,Ion Storm,United States,1996,Shut down in 2001; subsidiary of Eidos Interactive
583,Ion Storm Austin,United States,1997,Shut down in 2005; subsidiary of Eidos Interactive
584,Irem,Japan,1974,Subsidiary of Eizo
585,Iron Galaxy Studios,United States,2008,
586,Iron Lore Entertainment,United States,2000,Defunct in 2008
587,Irrational Games,United States,1996,Subsidiary of 2K Games; defunct in 2017. Their main employees moved to Ghost Story Games.
588,Ivory Tower,France,2007,Subsidiary of Ubisoft;[21] founded by former employees of Eden Games
589,J.K. Greye Software,UK,1981,Reformed as J.K. Greye Enterprises Ltd in 1983.
590,JAST USA,United States,1996,
591,JV Games,United States,1999,
592,Jadestone Group,Sweden,2000,"Subsidiary of WMS Industries; Online game developer, mobile game developer"
593,Jagex,United Kingdom,2001,Subsidiary of Shanghai Fukong Interactive Entertainment (formerly Zhongji Holding); online game developer
594,Jaleco,Japan,1974,Acquired by Game Yarou in 2009 and defunct in 2014
595,Jam City,United States,2007,Subsidiary of Netmarble;[22] mobile game developer
596,Japan Studio,Japan,1993,Division of SIE Worldwide Studios
597,Javaground,United States,2001,Mobile game developer
598,Jester Interactive,UK,1997,
599,JoWooD Productions,Austria,1995,Folded into Nordic Games in 2011.
600,Johnson & Johnson,United States,1886,No longer publishes video games.
601,JumpStart Games (formerly Knowledge Adventure),United States,1989,Acquired by NetDragon Websoft.
602,Jupiter,Japan,1996,
603,K2 Network (Gamersfirst),United States,2001,"Merged with Reloaded Games. Reloaded Games no longer publishes games, and their publishing title is now published by GamersFirst.[3]"
604,KID,Japan,1988,Defunct in 2006.
605,KOG Studios,South Korea,2000,
606,KSS,Japan,1990,Exited the video game industry in 2001.
607,Kairosoft,Japan,1996,
608,Kalisto Entertainment,France,1990,"Label of Atreid Concept until 1996, when it became the name of the company as a whole. Defunct in 2002."
609,Kalypso Media,Germany,2006,Developer/publisher
610,Kaneko,Japan,1980,
611,Kaos Studios,United States,2006,Subsidiary of THQ
612,Kaypro,United States,1981,Defunct in 1992; reestablished in 1999; defunct again in 2001.
613,Keen Software House,Czech Republic,2010,
614,Kemco,Japan,1984,Also a video game developer.
615,Kesmai,United States,1981,Subsidiary of Electronic Arts; closed in 2001
616,Kiloo Games,Denmark,2000,Mobile game developer
617,King,Sweden,2003,Subsidiary of Activision Blizzard; Mobile game developer
618,King Games,Florida,2006,Label of Burger King used for a 2006 advergame promotion.
619,King Records,Japan,1931,No longer publishes video games.
620,Kingsoft,Germany,1983,Acquired by Electronic Arts in 1983; defunct in 2000.
621,Koch Media,Germany,1994,Bought by THQ Nordic February 2018
622,Kodansha,Japan,1938,No longer publishes video games.
623,Koei,Japan,1976,Also a video game developer. Merged into Tecmo Koei.
624,Koei Tecmo,Japan,2009,Changed name from Tecmo Koei in 2014.
625,Koei Tecmo Games (formerly Koei),Japan,1978,Developer/publisher; subsidiary of Koei Tecmo Holdings
626,Kogado Studio,Japan,1916,
627,Kojima Productions,Japan,2005,
628,Konami,Japan,1969,Developer/publisher
629,Kongzhong,China,2002,
630,Krisalis Software,UK,1987,Defunct in 2001.
631,Krome Studios,Australia,1999,Defunct
632,Krome Studios Melbourne,Australia,1988,Defunct
633,Kuju Entertainment,United Kingdom,1998,Subsidiary of Catalis SE
634,Kuma Reality Games,United States,2003,
635,Kunos Simulazioni,Italy,2005,Subsidiary of Digital Bros
636,Kure Software Koubou,Japan,1985,Also known as KSK.
637,Kush Games,United States,1998,
638,Kylotonn,France,2002,Acquired by Bigben Interactive (latterly Nacon) in 2018[23]
639,LJN,United States,1970,Acquired by Acclaim Entertainment.
640,LK Avalon,Poland,1989,
641,La'cryma,Japan,2006,
642,Lankhor,France,1987,Defunct in 2001.
643,Larian Studios,Belgium,1996,
644,Le Lombard,Belgium,1946,No longer publishes video games.
645,Legacy Interactive,United States,1998,
646,Legend Entertainment,United States,1989,Closed in 2004.
647,Legendo Entertainment,Sweden,2004,Developer/publisher
648,Lego Interactive,UK,1996,"Publishing arm of Lego Group. Known as Lego Media until 2000, and Lego Software from then until 2002. Defunct in 2005."
649,Leland Corporation,United States,1987,Renamed to Leland Interactive Media in 1993. Acquired by WMS Industries in 1994.
650,Level 9 Computing,UK,1981,Defunct in 1991.
651,Level-5,Japan,1998,Developer/publisher and founded by Akihiro Hino
652,Lift London,United Kingdom,2012,Subsidiary by Microsoft Studios in 2018
653,Lighthouse Interactive,The Netherlands,2005,Acquired by SilverBirch Inc. in 2008; defunct in 2009.
654,Limbic Entertainment,Germany,2002,
655,Limited Run Games,United States,2015,
656,Linden Lab,United States,1999,
657,Linux Game Publishing,UK,2001,inactive
658,Lionhead Studios,United Kingdom,1997,Closed by Microsoft Studios in 2016
659,Liquid Entertainment,United States,1999,Dissolved in 2018[24]
660,Little Green Men Games,Croatia,2006,
661,Llamasoft,United Kingdom,1982,
662,Lock 'n Load Publishing,US,2006,
663,Locomotive Games,United States,1997,Defunct in 2008
664,Logotron Ltd,UK,1987,Published last game in 1990.
665,Loki Software,United States,1998,
666,London Studio,United Kingdom,2002,Division of SIE Worldwide Studios
667,Looking Glass Studios,United States,1990,
668,Loriciel,France,1983,Defunct in 1995.
669,Love-de-Lic,Japan,1995,Formed by former employees of Square
670,LucasArts,United States,1982,"Publisher and former developer; closed as developer of April 3, 2013 by Disney"
671,Luma Arcade,South Africa,2006,Division of Luma Animation
672,Lump of Sugar,Japan,2005,
673,Luxoflux,United States,1998,
674,MAGES.,Japan,2005,Acquired by COLOPL in 2020.[25] Former subsidiary of Dwango.
675,MC Lothlorien,UK,1982,Defunct in 1990.
676,MC2 France,France,2003,Currently publishes under the Microids label.
677,MECC,United States,1973,Defunct in 1999.
678,MGM Interactive,United States,1995,Software publishing arm of Metro-Goldwyn-Meyer. Defunct in 2005.
679,MLB Advanced Media,United States,2000,
680,MOSS,Japan,1993,
681,MTO,Japan,1996,
682,MTV Games,United States,2006,
683,MacPlay,United States,1993,Label of Interplay until 1997. Revived in 2000 as a label of United Developers.
684,MacSoft,United States,1993,Acquired by Destineer in 2003.
685,MachineGames,Sweden,2009,Founded by former employees of Starbreeze Studios; acquired by ZeniMax Media in 2010
686,Mad Catz,United States,1989,Defunct in 2017.
687,Magenta Software,United Kingdom,1994,
688,Magical Company,Japan,1985,No longer publishes video games.
689,Magnavox,United States,1911,Also a video game developer. Acquired by Philips in 1974. Exited the video game industry in 1984.
690,Majesco Entertainment,United States,1986,"Defunct December 8, 2016"
691,Mandarin Software,UK,1988,Publishing label of Europress Software. Last game published in 1990.
692,MangaGamer,Japan,2009,
693,Martech,UK,1982,Ceased publishing video games in 1989.
694,Marvelous,Japan,1997,Developer/publisher
695,Marvelous Entertainment,Japan,1997,Merged with AQ Interactive in 2011 to become Marvelous AQL (later Marvelous).
696,Masaya,Japan,1985,"Label of NCS until 2014, and of Extreme since then."
697,Massive Entertainment,Sweden,1997,Founded in 1997; former subsidiary of Activision and acquired by Ubisoft in 2008
698,Mastertronic,UK,1983,"Merged with Virgin Interactive in 1988, and subsequently absorbed into Sega in 1991."
699,Masthead Studios,Bulgaria,2005,
700,Mastiff,California,2002,Also a video game developer.
701,Matrix Games,United States,2000,Merged into Slitherine Software in 2010 and their games are published by Slitherine.
702,Matrix Software,Japan,1994,
703,Mattel,United States,1945,Exited the video game business in 1984.
704,Max Design,Austria,1991,Defunct in 2004.
705,Maximum Games,United States,2009,Formerly Maximum Family Games
706,Maxis,United States,1987,Became a subsidiary of Electronic Arts in 1997
707,Mean Hamster Software,United States,1985,
708,Media Factory,Japan,1986,"Label of Recruit until 2011, and of Kadokawa Corporation since then. No longer publishes video games."
709,Media Molecule,United Kingdom,2006,Founded by former employees of Lionhead Studios; division of SIE Worldwide Studios since 2010
710,Media Rings,Japan,1989,Defunct in 2007.
711,Media.Vision,Japan,1993,
712,MediaWorks,Japan,1992,"Merged with ASCII Corporation in 2008 to become ASCII MediaWorks. In 2009, its game business was merged into Kadokawa Games."
713,Mediatonic,United Kingdom,2005,
714,Mega Enterprise,South Korea,1998,Defunct in 2007.
715,MegaZebra,Germany,2009,
716,Melbourne House,Australia,1977,Acquired by Krome Studios in 2006; closed in 2010.
717,Meldac,Japan,1990,No longer publishes video games.
718,Mercury Steam,Spain,2002,
719,"Metro3D, Inc.",United States,1998,Defunct in 2004.
720,Metropolis Software,Poland,1992,Studio was bought by CD Projekt in 2008 and closed in 2009.
721,Micro Genius,Taiwan,1989,Defunct in 1994.
722,Micro Power,UK,1980,Defunct in 1987.
723,MicroGraphic Image,United States,1983,Defunct in 1984.
724,MicroIllusions,United States,1987,Last game published in 1989.
725,MicroProse,United States,1982,"Acquired by Hasbro Interactive, name retired."
726,MicroProse Software,United States,1982,
727,Microcabin,Japan,1982,"Acquired by AQ Interactive in 2008, and by Fields Corporation in 2011."
728,Microdeal,UK,1981,Rights sold to HiSoft Systems in 1989.
729,Micrografx,United States,1982,Acquired by Corel in 2001.
730,Microids,France,1984,Also a video game developer. Subsidiary of Média-Participations.
731,"Micronet co., Ltd.",Japan,1982,No longer publishes video games.
732,Microsoft,United States,1975,Publishes games under the Xbox Game Studios banner since 2019. Also owns publisher Bethesda Softworks
733,Microsoft Casual Games,United States,2013,Subsidiary by Microsoft Studios
734,Microsphere,UK,1982,Defunct in 1987.
735,Midas Interactive Entertainment,UK,1999,Still sells old games but no longer publishes new games under the name.
736,Midway Games,United States,1988,As of 2012liquidation plan
737,Midway Manufacturing,United States,1958,Also a video game developer. Acquired by Bally in 1969; Bally/Midway was in turn acquired by Williams Electronics in 1987. Reformed as Midway Games in 1988.
738,Midway Studios – Newcastle,United Kingdom,1996,Defunct in 2009
739,Mikro-Gen,UK,1981,Acquired by Creative Sparks Distribution in 1987.
740,MileStone Inc.,Japan,2003,Closed in 2013.
741,Milestone,Japan,2003,
742,Milestone srl,Italy,1996,Acquired by Koch Media in 2019
743,Millennium Interactive,UK,1988,Acquired by Sony Interactive Entertainment in 1997.
744,Milton Bradley Company,United States,1860,Acquired by Hasbro in 1984. Defunct in 2009.
745,Mimimi Games,Germany,2011,
746,Minato Soft,Japan,2006,Also publishes under the Whale label.
747,Mindcraft,United States,1989,Last game published in 1993.
748,Mindscape,United States,1980,No longer publishes video games.
749,Minori,Japan,2001,Software division of CoMixWave until 2007.
750,Mirrorsoft,UK,1982,Acquired by Acclaim Entertainment in 1992.
751,Mistwalker,Japan,2004,
752,Mitchell Corporation,Japan,1960,
753,Mode 7 Games,United Kingdom,2005,Developer and publisher; publisher-only since 2019.
754,Mojang,Sweden,2009,Acquired by Microsoft in 2014.
755,Mojang AB,Sweden,2009,"Former Indie developer and publisher; acquired by Microsoft on September 15, 2014"
756,Monolith Productions,United States,1994,Acquired by Warner Bros. Interactive Entertainment in 2004
757,Monolith Soft,Japan,1999,Founded by Tetsuya Takahashi and former subsidiary of Namco; acquired by Nintendo as a first-party developer and subsidiary in 2007
758,Monster Games,United States,1996,
759,Monte Cristo,France,1995,Defunct in 2010
760,Moon Studios,Austria,2010,
761,Moonstone,Japan,2003,Also publishes under the Moonstone Cherry label.
762,Mosaic Publishing,UK,1983,Defunct in 1988.
763,Motown Games,United States,1994,Software publishing arm of Motown. Defunct in 1996.
764,Mountain King Studios,United States,1992,No longer publishes video games.
765,Mr Chip Software,UK,1982,Ceased publishing video games in 1984; changed name to Magnetic Fields in 1988.
766,Mud Duck Productions,United States,2002,Label of ZeniMax Media. Defunct in 2007.
767,MumboJumbo,United States,2001,
768,Muse Software,United States,1978,Also a video game developer.
769,Mystique,United States,1982,Offshoot of Caballero Control Corporation and American Multiple Industries. Defunct in 1983.
770,Mythic Entertainment,United States,1995,Acquired by Electronic Arts in 2006 and closed in 2014
771,NAPS team,Italy,1993,NAPS team is the oldest Italian development studio
772,NBCUniversal,New York City,2004,The game publishing division will be closed in 2019.[4]
773,NCSoft,South Korea,1997,Online game developer/publisher
774,NCsoft,South Korea,1997,
775,NDOORS Corporation,South Korea,1999,Developer/publisher; subsidiary of Nexon; merged into Nexon Red in 2017[26]
776,NDcube,Japan,2000,Subsidiary of Nintendo
777,NEC Corporation,Japan,1899,Exited the video game industry in 1998.
778,NTDEC,Taiwan,1983,Defunct in 1993.
779,Nacon (formerly Bigben Interactive SA),France,1981,
780,Nadeo,France,2000,Acquired by Ubisoft in 2009
781,Namco,Japan,1955,No longer publishes video games. Video game division merged with Bandai's video game operations as Namco Bandai Games.
782,Namco Tales Studio,Japan,1986,Originally it was division or subsidiary of Telenet Japan but it became a jointly-owned company of Namco and Telenet Japan
783,Nanobit,Croatia,2008,
784,Natsume,Japan,1987,
785,Natsume Co Ltd,Japan,1987,Renamed to Natsume-Atari in 2013 following merger with subsidiary Atari.
786,Natsume Inc,California,1988,Division of Natsume Co Ltd until 1995.
787,NaturalMotion,United Kingdom,2001,Acquired by Zynga
788,Naughty Dog,United States,1986,Division of SIE Worldwide Studios since 2001
789,Navel,Japan,2003,"Label of Omega Vision, Inc."
790,Naxat Soft,Japan,1988,Defunct in 2015.
791,Neko Entertainment,France,1998,Developer/publisher; defunct in 2017
792,Nerve Software,United States,1999,
793,NetDevil,United States,1997,
794,NetDragon Websoft,China,1999,
795,NetEase,China,1997,"Developer, publisher, and online services company"
796,Netdragon,China,1997,Also a video game developer.
797,Netease,China,1997,Also a video game developer and online services company.
798,NetherRealm Studios,United States,2010,Successor to Midway Games; Subsidiary of Warner Bros. Interactive Entertainment
799,Neverland,Japan,1993,
800,Neversoft,United States,1994,Acquired by Activision in 1999; merged into Infinity Ward in 2014
801,Nevosoft,Russia,2002,
802,New Generation Software,UK,1982,Defunct in 1986.
803,New World Computing,United States,1984,
804,New World Interactive,United States,2010,Acquired by Embracer Group in 2020[1]
805,NewKidCo,United States,1998,Defunct in 2005.
806,Nexon,South Korea,1994,Also a video game developer.
807,NexonNexon Korea,JapanSouth Korea,20021994,"Online video game developer, publisher and distributor; moved its headquarters from Korea to Japan."
808,Next Level Games,Canada,2002,
809,Niantic,United States,2010,
810,Nibris,Poland,2000,
811,Nicalis,United States,2007,Indie developer/publisher
812,Nihon Bussan,Japan,1970,A.K.A. Nichibutsu
813,Nihon Falcom,Japan,1981,Developer/publisher
814,Nikita Online,Russia,1991,
815,Nimble Giant Entertainment,Argentina,2002,Acquired by Embracer Group in 2020.[18]
816,Ninja Theory,United Kingdom,2000,Former Indie developer and publisher; acquired by Microsoft Studios in 2018
817,Ninjabee,United States,2005,Division of Wahoo Studios
818,Nintendo,Japan,1889,First-party developer/publisher/console manufacturer
819,Nippon Ichi Software,Japan,1991,Developer/publisher
820,Nitroplus,Japan,2000,
821,Nival,Russia,1996,
822,Nokia,Finland,1865,
823,Nordcurrent,Lithuania,2002,
824,Nordeus,Serbia,2009,Developer/publisher
825,NovaLogic,United States,1985,Their assets were acquired by THQ Nordic
826,Novagen Software,UK,1983,Defunct in 1992.
827,Novarama,Spain,2003,
828,Now Production,Japan,1986,
829,Nude Maker,Japan,2002,Formed by former employees of Human Entertainment
830,Nutting Associates,United States,1965,Defunct in 1976.
831,O3 Entertainment,United States,2001,
832,Obsidian Entertainment,United States,2004,Acquired by Microsoft Studios in 2018
833,Ocean Software,UK,1984,Acquired by Infogrames
834,Ocean State Publishing,United States,1990,Label of Rhode Island Soft Systems. Acquired by Freeze.com in 2003.
835,Oculus Studios,United States,2014,Game publishing arm of Oculus VR.
836,Oddworld Inhabitants,United States,1994,
837,Odin Computer Graphics,UK,1985,"Defunct in 1988, re-established in 2005."
838,Omega Force,Japan,1997,Division of Koei Tecmo Games
839,Opera Soft,Spain,1986,Defunct in 1992.
840,Orbital Media,Canada,2003,No longer publishes video games.
841,Origin Systems,United States,1983,Acquired by Electronic Arts in 1992 and closed in 2004
842,Orion Interactive,United States,1996,Defunct following acquisition by Metro-Goldwyn-Meyer in 1997.
843,OtherSide Entertainment,United States,2013,Founded by one of Looking Glass Studios founders.
844,Out of the Park Developments,Germany,1999,
845,Outfit7,Slovenia,2010,"Acquired by Zhejiang Jinke Entertainment Culture Co., Ltd. in 2017"
846,Outrage Entertainment,United States,1996,Closed in 2004
847,Overkill Software,Sweden,2009,Acquired by Starbreeze Studios in 2012
848,Oxygen Games,UK,2004,Also a video game developer.
849,Oxygen Studios,United Kingdom,2006,
850,OziSoft,Australia,1982,"Acquired by Infogrames in 1998, and Namco Bandai Games in 2009."
851,PF Magic,United States,1991,Acquired by Ubisoft in 1998.
852,Pacific Novelty,United States,1980,Last game published in 1983.
853,Pack-In-Video,Japan,1970,Acquired by Victor Entertainment in 1996; became Victor Interactive Software.
854,Page 44 Studios,United States,1998,Subsidiary of Zynga; closed in 2011.
855,Palace Software,UK,1983,Acquired by Titus Software in 1991.
856,Palette,Japan,2002,
857,Panasonic,Japan,1918,No longer publishes video games.
858,Panda Entertainment,Taiwan,1993,Last game published in 1997.
859,Pandemic Studios,United States,1998,Acquired by Electronic Arts in 2007 and closed in 2009.
860,Panesian Taiwan,Taiwan,1990,Publisher of eroge for the Family Computer and NES
861,Pangea Software,United States,1987,
862,Panther Games,Australia,1985,No longer publishes video games. Their games are now published by Lock 'n Load Publishing.
863,Panther Games Pty Ltd,Australia,1985,
864,Panther Software,Japan,1987,Last game published in 2004.
865,Papaya Studio,United States,1999,
866,Paradox Development Studio,Sweden,1995,In-house development studio and subsidiary of Paradox Interactive
867,Paradox Interactive,Sweden,1998,Also a video game developer.
868,Paragon Software,United States,1985,Defunct in 1992.
869,Parallax Software,United States,1993,Split into Volition and Outrage Entertainment
870,Parker Brothers,United States,1883,"Acquired by Hasbro in 1991, which continued to use it as a label on some video games until 1994."
871,Parsoft Interactive,United States,1991,Defunct in 2002.
872,Pendulo Studios,Spain,1993,
873,Penguin Software,United States,1978,
874,Pentavision,South Korea,2003,Division of Neowiz Games. Merged with GameOn Studios in 2012.
875,People Can Fly,Poland,2002,
876,Perfect World,China,2004,Developer/publisher
877,Personal Software Services,UK,1981,Acquired by Mirrorsoft in 1987.
878,Petit Ferret,Japan,2002,Defunct.
879,Petroglyph,United States,2003,
880,Petroglyph Games,US,2003,Also a video game developer.
881,Phantagram,South Korea,1994,Acquired by Blueside in 2010[27]
882,Phenomic Game Development,Germany,1997,Acquired by Electronic Arts in 2006; shut down in 2013
883,Philips,Netherlands,1891,No longer publishes video games.
884,Pi Studios,United States,2002,
885,Pionesoft,Japan,2003,Defunct in 2008.
886,Pipeworks Studios,United States,1999,Subsidiary of Northern Pacific Group
887,Piranha Bytes,Germany,1997,Acquired by THQ Nordic in 2019
888,Piranha Games,Canada,2000,Acquired by Enad Global 7 in 2020.[3]
889,Piranha Interactive Publishing,United States,1995,Defunct in 1999.
890,Pivotal Games,United Kingdom,2000,
891,Pixel Federation,Slovakia,2007,Developer/Publisher
