ID,Ime,Drzava,Datum_ustanovitve,Opis
88,Argus Press,UK,1966,"Published games through its Argus Press Software division, which was acquired in 1987 and renamed Grandslam Entertainment."
89,Arika,Japan,1995,
90,Ariolasoft,Germany,1983,Software publishing arm of Ariola Records. Reestablished as United Software in 1990.
91,Arkane Studios,France,1999,Subsidiary of ZeniMax Media
92,Arkedo Studio,France,2006,Defunct in 2013
93,Armor Games,United States,2005,"Published flash titles before branching out into mobile, PC, and console markets."
94,Arsys Software,Japan,1985,Defunct in 2001.
95,"Art Co., Ltd",Japan,1995,
96,Artdink,Japan,1986,
97,ArtePiazza,Japan,1989,
98,Artech Digital Entertainment,Canada,1982,Defunct in 2011.
99,Artic Computing,UK,1980,Defunct in 1986.
100,Artificial Studios,United States,2001,Subsumed by Ignition Entertainment which was defunct in 2012
101,Artoon,Japan,1999,Subsidiary of AQ Interactive; defunct in 2010
102,Arush Entertainment,United States,1999,Acquired by HIP Interactive in 2004; defunct in 2005.
103,Arxel Tribe,Slovenia,1989,Last game published in 2003.
104,Arzest,Japan,2010,Formed by former employees of Artoon
105,Ascaron,Germany,1989,Developer/publisher; closed in 2009
106,Asmik Corporation of America,Japan,1985,Merged with Ace Entertainment.
107,Asobo Studio,France,2002,
108,Aspyr Media,United States,1996,Specializes in porting Windows games to Mac OS.
109,Astragon,Germany,2000,
110,Atari Corp.,United States,1984,"Founded as Tramel Technology, Ltd. in 1984; acquired Atari name shortly thereafter. Reverse-merged with JMS Inc. in 1996."
111,Atari Games,United States,1984,"Also published console games under the Tengen label. Subsidiary of Time Warner until acquisition by WMS Industries in 1996, which spun it off as a subsidiary of Midway Games in 1998; renamed to Midway Games West at the same time. Dissolved in 2003."
112,Atari Interactive (formerly Hasbro Interactive),United States,1995,Acquired by Infogrames in 2001
113,"Atari, Inc",United States,1972,"Bought by Warner Bros. in 1976. Closed in 1984, assets split between Atari Corporation and Atari Games."
114,"Atari, SA",France,2003,"Formerly GT Interactive Software, became full subsidiary of Atari, SA in 2008."
115,Athena,Japan,1987,No longer publishes video games.
116,Atlantis Software,UK,1984,Defunct in 1992.
117,Atlus,Japan,1986,Developer/publisher; acquired by Sega in 2013
118,Atomic Planet Entertainment,United Kingdom,2000,Closed in 2009
119,Attic Entertainment Software,Germany,1990,Developer/publisher; defunct in 2001
120,Audiogenic Limited,UK,1975,Defunct in 1985; reformed as Audiogenic Software Ltd.
121,August,Japan,2001,
122,Auran Development,Australia,1995,Now known as N3V Games.
123,Automata UK,UK,1977,Defunct in 1985.
124,Autumn Games,United States,2007,Focused on providing publishing services for independent developers for digital platforms.
125,Avalanche Studios Group,Sweden,2003,Acquired by Nordisk Film in 2018
126,Avalon Hill,United States,1954,Acquired by Hasbro in 1998.
127,Aventuras AD,Spain,1987,Defunct in 1992.
128,Aventurine SA,Greece,2002,
129,B.B. Studio,Japan,1994,Formerly known as Banpre Kikaku and Banpresoft; Subsidiary of Bandai Namco Entertainment
130,BAM! Entertainment,United States,1999,Dormant since 2004.
131,BBC Multimedia,UK,1995,Defunct in 2005.
132,Babaroga,United States,2001,
133,Backflip Studios,United States,2009,Subsidiary of Hasbro; closed in 2019[2]
134,Bandai Games,Japan,1950,Video game operations merged with Namco as Namco Bandai Games. No longer publishes video games.
